subj,sex,scenario,violation.type,possibility.judgment,age,trial
171,M,1,2,0,25,7
171,M,4,3,0,25,8
172,F,2,4,0,42,1
172,F,4,4,0,42,2
172,F,5,2,1,42,3
172,F,7,3,0,42,4
172,F,6,4,0,42,5
172,F,3,2,0,42,6
172,F,1,2,1,42,7
172,F,8,1,1,42,8
173,M,4,2,0,20,1
173,M,2,2,0,20,2
173,M,5,1,1,20,3
173,M,7,3,0,20,4
173,M,8,4,0,20,5
173,M,6,4,0,20,6
173,M,1,4,0,20,7
173,M,3,2,0,20,8
174,F,2,4,0,55,1
174,F,6,1,1,55,2
174,F,7,1,1,55,3
174,F,8,1,1,55,4
174,F,4,3,0,55,5
174,F,1,1,1,55,6
174,F,3,4,0,55,7
174,F,5,2,1,55,8
175,M,3,4,0,30,1
175,M,5,4,0,30,2
175,M,1,4,0,30,3
175,M,8,2,0,30,4
175,M,6,1,1,30,5
175,M,2,3,0,30,6
175,M,4,4,0,30,7
175,M,7,4,0,30,8
176,M,5,2,0,23,1
176,M,7,3,0,23,2
176,M,1,3,0,23,3
176,M,6,4,0,23,4
176,M,2,1,1,23,5
176,M,4,4,0,23,6
176,M,3,4,0,23,7
176,M,8,4,0,23,8
177,F,4,3,0,24,1
177,F,5,4,0,24,2
177,F,7,3,0,24,3
177,F,3,3,1,24,4
177,F,8,1,1,24,5
177,F,2,1,1,24,6
177,F,1,3,0,24,7
177,F,6,2,1,24,8
178,M,3,1,1,37,1
178,M,7,1,1,37,2
178,M,6,3,0,37,3
178,M,4,3,0,37,4
178,M,1,1,1,37,5
178,M,2,4,0,37,6
178,M,8,3,0,37,7
178,M,5,4,0,37,8
